site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
IT-CA2,Castel d'Asso2,Italy,12.02604,42.37722,200,CRO,766,14,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA2/
IT-CA3,Castel d'Asso3,Italy,12.0222,42.3800,197,DBF,766,14,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA3/
IT-Col,Collelongo,Italy,13.58814,41.84936,1560,DBF,1180,6.3,1996-2014,1996-2014,http://sites.fluxdata.org/IT-Col/
IT-Cp2,Castelporziano2,Italy,12.35729,41.70427,19,EBF,805,15.2,2012-2014,2012-2014,http://sites.fluxdata.org/IT-Cp2/
IT-Cpz,Castelporziano,Italy,12.37611,41.70525,68,EBF,780,15.6,1997-2009,1997-2009,http://sites.fluxdata.org/IT-Cpz/
IT-Isp,Ispra ABC-IS,Italy,8.63358,45.81264,210,DBF,1300,12.2,2013-2014,2013-2014,http://sites.fluxdata.org/IT-Isp/
IT-La2,Lavarone2,Italy,11.2853,45.9542,1350,ENF,1150,7.2,2000-2002,2000-2002,http://sites.fluxdata.org/IT-La2/
IT-Lav,Lavarone,Italy,11.28132,45.9562,1353,ENF,1291,7.8,2003-2014,2003-2014,http://sites.fluxdata.org/IT-Lav/
IT-MBo,Monte Bondone,Italy,11.04583,46.01468,1550,GRA,1214,5.1,2003-2013,2003-2013,http://sites.fluxdata.org/IT-MBo/
IT-Noe,Arca di Noe - Le Prigionette,Italy,8.15117,40.60618,25,CSH,588,15.9,2004-2014,2004-2014,http://sites.fluxdata.org/IT-Noe/
IT-PT1,Parco Ticino forest,Italy,9.06104,45.20087,60,DBF,984,12.7,2002-2004,2002-2004,http://sites.fluxdata.org/IT-PT1/
IT-Ren,Renon,Italy,11.43369,46.58686,1730,ENF,809.3,4.7,1998-2013,1998-2013,http://sites.fluxdata.org/IT-Ren/
IT-Ro1,Roccarespampani 1,Italy,11.93001,42.40812,235,DBF,876.2,15.15,2000-2008,2000-2008,http://sites.fluxdata.org/IT-Ro1/
IT-Ro2,Roccarespampani 2,Italy,11.92093,42.39026,160,DBF,876.2,15.15,2002-2012,2002-2012,http://sites.fluxdata.org/IT-Ro2/
IT-SR2,San Rossore 2,Italy,10.29095,43.73203,4,ENF,920,14.2,2013-2014,2013-2014,http://sites.fluxdata.org/IT-SR2/
IT-SRo,San Rossore,Italy,10.28444,43.72786,6,ENF,920,14.2,1999-2012,1999-2012,http://sites.fluxdata.org/IT-SRo/
IT-Tor,Torgnon,Italy,7.57806,45.84444,2160,GRA,920,2.9,2008-2014,2008-2014,http://sites.fluxdata.org/IT-Tor/
JP-MBF,Moshiri Birch Forest Site,Japan,142.3186,44.3869,"",DBF,"","",2003-2005,2003-2005,http://sites.fluxdata.org/JP-MBF/
JP-SMF,Seto Mixed Forest Site,Japan,137.0788,35.2617,"",MF,"","",2002-2006,2002-2006,http://sites.fluxdata.org/JP-SMF/
MY-PSO,Pasoh Forest Reserve (PSO),Malaysia,102.3062,2.9730,"",EBF,"","","",2003-2009,http://sites.fluxdata.org/MY-PSO/
NL-Hor,Horstermeer,Netherlands,5.0713,52.24035,2.2,GRA,800,10,2004-2011,2004-2011,http://sites.fluxdata.org/NL-Hor/
NL-Loo,Loobos,Netherlands,5.74356,52.16658,25,ENF,786,9.8,1996-2013,1996-2014,http://sites.fluxdata.org/NL-Loo/
NO-Adv,Adventdalen,Norway,15.9230,78.1860,17,WET,"","",2011-2014,2011-2014,http://sites.fluxdata.org/NO-Adv/
NO-Blv,"Bayelva, Spitsbergen",Norway,11.83109,78.92163,25,SNO,400,-4.5,2008-2009,2008-2009,http://sites.fluxdata.org/NO-Blv/
PA-SPn,Sardinilla Plantation,Panama,-79.6346,9.31814,78,DBF,2350,26.5,"",2007-2009,http://sites.fluxdata.org/PA-SPn/
PA-SPs,Sardinilla-Pasture,Panama,-79.63143,9.31378,68,GRA,2350,26.5,"",2007-2009,http://sites.fluxdata.org/PA-SPs/
RU-Che,Cherski,Russia,161.34143,68.61304,6,WET,197,-11,2002-2005,2002-2005,http://sites.fluxdata.org/RU-Che/
RU-Cok,Chokurdakh,Russia,147.49428,70.82914,48,OSH,232,-14.3,2003-2014,2003-2014,http://sites.fluxdata.org/RU-Cok/
